gene	T0_A_S1	T0_B_S2	T0_C_S3	T3_DMSO_A_S4	T3_DMSO_B_S5	T3_DMSO_C_S6	T3_80_A_S7	T3_80_B_S8	T3_80_C_S9	T6_DMSO_A_S13	T6_DMSO_B_S14	T6_DMSO_C_S15	T6_80_A_S16	T6_80_B_S17	T6_80_C_S18	T9_DMSO_A_S22	T9_DMSO_B_S23	T9_DMSO_C_S24	T9_80_A_S1	T9_80_B_S2	T9_80_C_S3	T12_DMSO_A_S7	T12_DMSO_B_S8	T12_DMSO_C_S9	T12_80_A_S10	T12_80_B_S11	T12_80_C_S12	T18_DMSO_A_S16	T18_DMSO_B_S17	T18_DMSO_C_S18	T18_80_A_S23	T18_80_B_S19	T18_80_C_S20
gene_1	2302	1375	2397	2882	2161	2041	1465	1588	906	1472	1134	1052	1881	1314	999	977	1113	433	1754	2228	1905	1703	959	1675	881	1291	979	2132	1928	1131	2118	1341	1591
gene_1	1599	1302	1272	1980	1629	1600	1653	1095	764	940	760	875	1704	1224	703	691	760	259	942	1302	1123	945	667	853	774	973	565	1058	1114	1024	1396	775	790
gene_1	2023	1258	1911	2726	1735	1988	1186	1416	730	1304	1279	1017	1496	1091	803	854	807	292	1351	1383	1657	1439	892	1177	721	1099	1046	1298	1606	1133	1480	1749	1294
gene_2	2111	1009	1596	2753	1777	1652	1314	1334	874	1423	1092	943	2389	1499	742	915	1294	556	1686	1852	1971	2232	1090	1795	1340	1573	801	3046	2493	2780	2430	2053	2318
gene_2	3585	1813	2790	3749	2445	3013	2827	1928	1391	2103	1835	1652	3068	1939	1778	1224	2008	664	2703	2720	2739	3407	1365	2201	1650	2086	994	3521	3050	2719	3466	2680	2304
gene_2	2509	1618	2080	3265	1731	2348	3070	1692	930	1587	1061	1363	2526	1919	1237	919	996	700	1493	1915	2326	2483	1087	2114	1358	1276	1097	2609	2196	2671	2093	2347	2226
gene_3	2052	1457	1574	2441	1582	1871	1906	1574	895	995	601	676	1195	1224	793	548	525	309	1256	1270	1253	703	376	782	599	545	594	501	388	533	887	611	777
gene_3	2162	1157	1905	2466	1177	1637	1905	1336	744	1056	857	640	1734	1249	1116	482	731	179	1151	1163	1445	800	556	626	656	913	679	593	649	495	947	924	906
gene_3	2784	1483	2252	3638	2323	1941	1823	2027	1267	1395	1106	1293	2016	1679	907	766	956	336	1593	1816	1674	1114	738	897	794	1228	706	1048	961	1036	1487	1187	1388
gene_4	2547	1590	1666	1648	2322	1915	1971	1410	706	1350	1110	1330	2095	1483	945	1040	918	519	1527	2020	1836	1848	910	1388	1032	1365	741	1800	1804	1265	1804	1605	1433
gene_4	2777	1185	2069	2329	2095	2337	1559	1629	856	1465	1154	960	1878	1487	1126	937	1260	689	1564	2090	1898	1603	789	1681	971	1767	572	1354	1985	2283	1914	2533	1567
gene_4	1708	1088	1348	1738	1294	1232	1706	1164	834	830	622	716	1099	956	528	603	318	224	735	969	1247	1216	534	646	565	574	544	779	976	897	1085	1151	607
gene_5	3613	1739	2546	4364	3095	3846	2746	2719	1516	2916	2549	2389	2642	2206	1808	2196	3408	1341	2657	3197	3605	6432	3960	5683	2637	3056	1717	10124	9945	10565	4634	4910	4567
